2021-10-05 23:34:48 UTC Syncing #13361962 0x2b55…7e66     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12327496 LI:#13362001   29/50 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:34:54 UTC Syncing #13361962 0x2b55…7e66     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12327496 LI:#13362001   29/50 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:35:06 UTC Syncing #13361963 0x40eb…7090     0.20 blk/s   62.0 tx/s    6.0 Mgas/s      0+   39 Qed Ancient:#12327497 LI:#13362002   27/50 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:35:06 UTC Syncing #13361964 0x9e17…5b7e     0.14 blk/s    7.9 tx/s    0.9 Mgas/s      0+   38 Qed Ancient:#12327498 LI:#13362002   27/50 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:35:12 UTC Syncing #13361964 0x9e17…5b7e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12327498 LI:#13362004   24/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:35:13 UTC Syncing #13361964 0x9e17…5b7e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#12327498 LI:#13362005   24/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:35:22 UTC Syncing #13361964 0x9e17…5b7e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#12327498 LI:#13362005   23/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:35:23 UTC Syncing #13361964 0x9e17…5b7e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#12327498 LI:#13362005   23/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:35:35 UTC Syncing #13361965 0x78cc…c599     0.10 blk/s   28.8 tx/s    2.3 Mgas/s      0+   40 Qed Ancient:#12327499 LI:#13362005   23/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:35:35 UTC Syncing #13361965 0x78cc…c599     0.20 blk/s   57.6 tx/s    4.5 Mgas/s      0+   40 Qed Ancient:#12327499 LI:#13362005   23/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:35:47 UTC Syncing #13361966 0x58b7…1ba0     0.20 blk/s   31.6 tx/s    2.7 Mgas/s      0+   39 Qed Ancient:#12327500 LI:#13362005   20/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:35:47 UTC Syncing #13361966 0x58b7…1ba0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12327500 LI:#13362005   20/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:35:53 UTC Syncing #13361966 0x58b7…1ba0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12327500 LI:#13362005   20/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:36:05 UTC Syncing #13361967 0x2903…a2f7     0.20 blk/s   35.0 tx/s    3.8 Mgas/s      0+   38 Qed Ancient:#12327501 LI:#13362006   20/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:36:05 UTC Syncing #13361967 0x2903…a2f7     0.10 blk/s   17.5 tx/s    1.9 Mgas/s      0+   38 Qed Ancient:#12327501 LI:#13362006   20/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:36:12 UTC Syncing #13361968 0xfbca…185b     0.20 blk/s   33.0 tx/s    3.1 Mgas/s      0+   38 Qed Ancient:#12327502 LI:#13362006   20/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:36:22 UTC Syncing #13361969 0x77b0…d347     0.10 blk/s    3.5 tx/s    0.3 Mgas/s      0+   38 Qed Ancient:#12327503 LI:#13362007   20/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:36:22 UTC Syncing #13361969 0x77b0…d347     0.20 blk/s    7.0 tx/s    0.5 Mgas/s      0+   38 Qed Ancient:#12327503 LI:#13362007   20/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:36:23 UTC Syncing #13361969 0x77b0…d347     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12327503 LI:#13362008   20/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:36:28 UTC Syncing #13361969 0x77b0…d347     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12327503 LI:#13362008   20/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:36:33 UTC Syncing #13361969 0x77b0…d347     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12327503 LI:#13362008   17/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:36:38 UTC Syncing #13361969 0x77b0…d347     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12327503 LI:#13362009   18/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:36:43 UTC Syncing #13361970 0x1fe4…9a48     0.20 blk/s   56.4 tx/s    6.0 Mgas/s      0+   39 Qed Ancient:#12327504 LI:#13362009   17/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:36:53 UTC Syncing #13361971 0xd810…278a     0.20 blk/s   33.4 tx/s    1.4 Mgas/s      0+   38 Qed Ancient:#12327505 LI:#13362009   19/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
